12/28/2018,DRIVER SERVICES   _F,50.00,,931.70
12/28/2018,DRIVER SERVICES     ,17.00,,914.70
12/28/2018,SEND E-TFR CA***ute ,30.00,,884.70
12/28/2018,COMPASS VENDING     ,8.00,,876.70
12/28/2018,MCDONALD'S #403   _F,7.34,,869.36
12/31/2018,PURE INTEGRATIV   _F,2.99,,866.37
12/31/2018,MCDONALD'S #839   _F,4.49,,861.88
12/31/2018,REAL CANADIAN S   _F,59.76,,802.12
12/31/2018,REAL CANADIAN S   _F,,4.00,806.12
12/31/2018,SCOTT RD TOWN P   _F,2.68,,803.44
12/31/2018,COMPASS VENDING     ,8.00,,795.44
12/31/2018,SUBWAY # 14739    _F,7.97,,787.47
12/31/2018,E-TRANSFER CA***Sgy ,,14.25,801.72
12/31/2018,MCDONALD'S #402   _V,9.43,,792.29
12/31/2018,WHALLEY TAXI LT   _F,17.70,,774.59
12/31/2018,MCDONALD'S #839   _F,4.18,,770.41
12/31/2018,TFR-FR QUITORIANO M ,,5000.00,5770.41
12/31/2018,MONTHLY ACCOUNT FEE ,29.95,,5740.46
01/02/2019,SQ *HARBOUR CON   _F,4.75,,5735.71
01/02/2019,BURGER KING STO   _F,3.15,,5732.56
01/02/2019,S/C REVERSAL        ,,29.95,5762.51
01/02/2019,WOCH             RLS,635.00,,5127.51
